X,Y,Topography,Grav,Mag
638050,1581660,703.5427246,-92.53161402,-20.49475288
639250,1581660,697.653127,-94.36145992,-26.48921585
640450,1581660,696.9666545,-95.90512347,-23.28216934
641650,1581660,694.2783305,-95.5990499,-20.24112892
642850,1581660,689.4123942,-92.66083846,-18.3178463
644050,1581660,683.93809,-87.92889366,-17.04202271
645250,1581660,690.3239746,-80.78259172,-13.73055267
646450,1581660,700.5283203,-70.91062245,-10.67718124
647650,1581660,718.9967041,-62.62682767,-9.646278381
648850,1581660,750.8559163,-59.10983596,-2.46909523
650050,1581660,784.5945028,-59.24851701,-4.188570023
651250,1581660,784.1371358,-61.06328962,-6.731633186
652450,1581660,755.5375875,-63.76318839,-7.97287178
653650,1581660,725.2041626,-61.22586725,-4.050379753
654850,1581660,717.9228617,-59.7377281,13.45067215
656050,1581660,705.9995219,-60.88544657,14.72341728
657250,1581660,691.3151754,-64.2128655,2.79551506
658450,1581660,679.8638102,-65.11106467,1.338220596
659650,1581660,671.3427429,-66.21307855,-0.85124588
660850,1581660,668.2119853,-66.52803721,3.877588272
662050,1581660,675.5119527,-67.41552024,8.365209579
663250,1581660,681.4025777,-69.32843566,12.4004364
664450,1581660,669.6268921,-71.54250603,7.213401794
665650,1581660,648.084727,-75.06964402,9.372377396
666850,1581660,635.7446493,-78.10053744,5.740188599
668050,1581660,627.7782389,-80.04602928,0.18875885
669250,1581660,622.154541,-82.39589334,13.73519325
670450,1581660,619.0304871,-83.86332688,16.63591957
671650,1581660,621.0776062,-84.24636254,23.91745949
672850,1581660,609.6477966,-84.66464763,30.48526955
674050,1581660,603.6872864,-84.95578618,31.94588661
675250,1581660,599.3105469,-85.47607656,36.29491425
676450,1581660,591.9620158,-85.29488382,40.61123657
677650,1581660,586.2440999,-84.56888418,43.11865234
678850,1581660,578.5984701,-83.53336997,40.07260895
680050,1581660,572.5032145,-82.4169838,40.26066589
681250,1581660,568.9603882,-81.60492854,38.59757233
682450,1581660,565.7511902,-81.77138925,35.89875793
683650,1581660,561.6371765,-81.40058851,32.91532135
684850,1581660,555.779541,-80.41417327,55.82145691
686050,1581660,557.9221598,-79.30013914,46.99675751
687250,1581660,557.8886617,-78.88950243,52.42442322
688450,1581660,559.210734,-78.79952869,55.81671906
689650,1581660,559.8046773,-78.83879385,37.05239868
690850,1581660,560.8499044,-78.76132603,60.83486176
692050,1581660,554.1202393,-78.00490475,108.8493347
693250,1581660,544.5250041,-77.26095567,26.00892448
694450,1581660,541.4626973,-76.19938979,83.51548767
695650,1581660,541.8005066,-74.91195283,85.10779572
696850,1581660,542.7208049,-73.97442698,54.3085556
698050,1581660,539.5937093,-73.99544511,41.20651245
699250,1581660,540.3412781,-73.81852798,28.20202446
700450,1581660,534.2571716,-73.81946225,41.26877594
701650,1581660,537.0025533,-73.29135213,38.3660965
702850,1581660,542.0935974,-72.54550462,37.71419525
704050,1581660,544.7126973,-71.91971836,60.27424622
705250,1581660,547.2952576,-70.81825752,85.07067108
706450,1581660,551.3920186,-69.87311234,107.9860611
707650,1581660,562.2314962,-68.74672885,134.3162689
708850,1581660,573.1769816,-68.14669871,125.4297867
710050,1581660,579.5208028,-67.99389787,94.82735443
711250,1581660,579.1673279,-67.93541746,94.06277466
712450,1581660,578.1340637,-68.11834188,71.3274231
713650,1581660,586.0893758,-68.29876962,74.9045639
714850,1581660,591.5669454,-68.10437346,110.4667435
716050,1581660,592.7007345,-67.97772446,116.0202408
717250,1581660,606.6256714,-70.84836001,147.0658875
718450,1581660,635.2012126,-70.26305594,122.5466843
719650,1581660,645.314443,-68.4535315,119.6047745
720850,1581660,620.7721659,-68.8058001,75.11105347
722050,1581660,620.8260905,-69.13592844,147.2451782
723250,1581660,626.9465841,-69.07459717,195.4432373
724450,1581660,632.2236532,-68.99937739,220.8727417
725650,1581660,623.6352743,-69.73671365,190.3878479
726850,1581660,613.4154968,-70.96306543,172.6026764
728050,1581660,610.7048136,-71.60321269,100.893158
729250,1581660,610.011027,-72.46312881,60.88335419
730450,1581660,605.5762634,-73.23337188,44.66157532
731650,1581660,600.7056376,-73.85714827,25.83688927
732850,1581660,601.0035299,-73.08703084,33.00382233
